Path,label
./lab3-train/0.bmp,0
./lab3-train/1.bmp,0
./lab3-train/2.bmp,1
./lab3-train/3.bmp,0
./lab3-train/4.bmp,1
./lab3-train/5.bmp,1
./lab3-train/6.bmp,1
./lab3-train/7.bmp,0
./lab3-train/8.bmp,1
./lab3-train/9.bmp,0
./lab3-train/10.bmp,0
./lab3-train/11.bmp,1
./lab3-train/12.bmp,1
./lab3-train/13.bmp,1
./lab3-train/14.bmp,0
./lab3-train/15.bmp,1
./lab3-train/16.bmp,1
./lab3-train/17.bmp,1
./lab3-train/18.bmp,1
./lab3-train/19.bmp,0
./lab3-train/20.bmp,1
./lab3-train/21.bmp,1
./lab3-train/22.bmp,1
./lab3-train/23.bmp,0
./lab3-train/24.bmp,1
./lab3-train/25.bmp,0
./lab3-train/26.bmp,0
./lab3-train/27.bmp,1
./lab3-train/28.bmp,1
./lab3-train/29.bmp,0
./lab3-train/30.bmp,1
./lab3-train/31.bmp,1
./lab3-train/32.bmp,1
./lab3-train/33.bmp,1
./lab3-train/34.bmp,0
./lab3-train/35.bmp,0
./lab3-train/36.bmp,1
./lab3-train/37.bmp,0
./lab3-train/38.bmp,1
./lab3-train/39.bmp,1
./lab3-train/40.bmp,1
./lab3-train/41.bmp,0
./lab3-train/42.bmp,1
./lab3-train/43.bmp,0
./lab3-train/44.bmp,1
./lab3-train/45.bmp,1
./lab3-train/46.bmp,0
./lab3-train/47.bmp,1
./lab3-train/48.bmp,1
./lab3-train/49.bmp,1
./lab3-train/50.bmp,0
./lab3-train/51.bmp,0
./lab3-train/52.bmp,0
./lab3-train/53.bmp,1
./lab3-train/54.bmp,0
./lab3-train/55.bmp,1
./lab3-train/56.bmp,0
./lab3-train/57.bmp,0
./lab3-train/58.bmp,1
./lab3-train/59.bmp,1
./lab3-train/60.bmp,1
./lab3-train/61.bmp,1
./lab3-train/62.bmp,1
./lab3-train/63.bmp,0
./lab3-train/64.bmp,1
./lab3-train/65.bmp,1
./lab3-train/66.bmp,0
./lab3-train/67.bmp,0
./lab3-train/68.bmp,1
./lab3-train/69.bmp,1
./lab3-train/70.bmp,0
./lab3-train/71.bmp,0
./lab3-train/72.bmp,0
./lab3-train/73.bmp,1
./lab3-train/74.bmp,1
./lab3-train/75.bmp,1
./lab3-train/76.bmp,0
./lab3-train/77.bmp,0
./lab3-train/78.bmp,1
./lab3-train/79.bmp,1
./lab3-train/80.bmp,0
./lab3-train/81.bmp,0
./lab3-train/82.bmp,1
./lab3-train/83.bmp,1
./lab3-train/84.bmp,0
./lab3-train/85.bmp,1
./lab3-train/86.bmp,0
./lab3-train/87.bmp,1
./lab3-train/88.bmp,0
./lab3-train/89.bmp,0
./lab3-train/90.bmp,0
./lab3-train/91.bmp,1
./lab3-train/92.bmp,0
./lab3-train/93.bmp,1
./lab3-train/94.bmp,0
./lab3-train/95.bmp,0
./lab3-train/96.bmp,0
./lab3-train/97.bmp,0
./lab3-train/98.bmp,1
./lab3-train/99.bmp,1
./lab3-train/100.bmp,1
./lab3-train/101.bmp,0
./lab3-train/102.bmp,1
./lab3-train/103.bmp,0
./lab3-train/104.bmp,1
./lab3-train/105.bmp,0
./lab3-train/106.bmp,1
./lab3-train/107.bmp,0
./lab3-train/108.bmp,0
./lab3-train/109.bmp,1
./lab3-train/110.bmp,1
./lab3-train/111.bmp,0
./lab3-train/112.bmp,1
./lab3-train/113.bmp,0
./lab3-train/114.bmp,0
./lab3-train/115.bmp,1
./lab3-train/116.bmp,1
./lab3-train/117.bmp,1
./lab3-train/118.bmp,1
./lab3-train/119.bmp,0
./lab3-train/120.bmp,1
./lab3-train/121.bmp,1
./lab3-train/122.bmp,1
./lab3-train/123.bmp,1
./lab3-train/124.bmp,0
./lab3-train/125.bmp,1
./lab3-train/126.bmp,1
./lab3-train/127.bmp,0
./lab3-train/128.bmp,1
./lab3-train/129.bmp,0
./lab3-train/130.bmp,0
./lab3-train/131.bmp,1
./lab3-train/132.bmp,0
./lab3-train/133.bmp,1
./lab3-train/134.bmp,0
./lab3-train/135.bmp,0
./lab3-train/136.bmp,1
./lab3-train/137.bmp,1
./lab3-train/138.bmp,1
./lab3-train/139.bmp,1
./lab3-train/140.bmp,1
./lab3-train/141.bmp,1
./lab3-train/142.bmp,1
./lab3-train/143.bmp,0
./lab3-train/144.bmp,0
./lab3-train/145.bmp,1
./lab3-train/146.bmp,1
./lab3-train/147.bmp,1
./lab3-train/148.bmp,1
./lab3-train/149.bmp,1
./lab3-train/150.bmp,1
./lab3-train/151.bmp,1
./lab3-train/152.bmp,0
./lab3-train/153.bmp,0
./lab3-train/154.bmp,1
./lab3-train/155.bmp,1
./lab3-train/156.bmp,0
./lab3-train/157.bmp,0
./lab3-train/158.bmp,0
./lab3-train/159.bmp,1
./lab3-train/160.bmp,1
./lab3-train/161.bmp,1
./lab3-train/162.bmp,0
./lab3-train/163.bmp,1
./lab3-train/164.bmp,0
./lab3-train/165.bmp,1
./lab3-train/166.bmp,1
./lab3-train/167.bmp,0
./lab3-train/168.bmp,0
./lab3-train/169.bmp,1
./lab3-train/170.bmp,1
./lab3-train/171.bmp,1
./lab3-train/172.bmp,0
./lab3-train/173.bmp,1
./lab3-train/174.bmp,1
./lab3-train/175.bmp,0
./lab3-train/176.bmp,1
./lab3-train/177.bmp,0
./lab3-train/178.bmp,1
./lab3-train/179.bmp,1
./lab3-train/180.bmp,0
./lab3-train/181.bmp,1
./lab3-train/182.bmp,1
